# Custom pronunciation overrides (win over the NST lexicon). TAB-separated:
#   word<TAB>space-separated IPA tokens (from the voice's phoneme inventory)
# Use for brand/place/personal names and register choices NST transcribes formally.

# brand persona
candytron	k ˈ a n d i t r ɔ n

# (robot/robotar/roboten/godisrobot: no override — NST's open-o "robb-ot"
#  rˈɔbɔt / rˈɔbɔtar is consistent across singular, plural, and the godis- compound.)

# Greeting compounds: NST stores the stiff citation form with a full hard "god"
# (ɡuːd). Natural speech reduces god -> go (ɡʊ, no d) before natt/morgon/dag/kväll.
godnatt	ɡ ʊ n ˈ a t
godnattsaga	ɡ ʊ n ˈ a t ˌ s ɑ ː ɡ a
godmorgon	ɡ ʊ m ˈ ɔ r ɔ n
goddag	ɡ ʊ d ˈ ɑ ː
godkväll	ɡ ʊ k v ˈ ɛ l

# Roman-numeral contamination in the NST lexicon: these map to NUMBER words
# (vi=VI=6=sex, v=5=fem, c=100=hundra, l=50=femtio, m=1000=tusen, iv=4=fyra).
# Override with the correct Swedish word / letter-name pronunciations.
vi	v ˈ i ː
v	v ˈ e ː
c	s ˈ e ː
l	ˈ ɛ l
m	ˈ ɛ m
iv	ˈ i ː v ˌ e ː
# Reachy: robot name, pronounced English "REE-chee" /ˈriːtʃi/ (not Swedish rˈɛjʂy)
reachy	r ˈ i ː ʧ i
